Primary Key,Title,Review Text,Date,Rating,Source,Reviewer Name,Sentiment
,Great replacement for Apple AirPod Max,,,5,BestBuy Canada,,POSITIVE
,I chose Sony over Bose. And I'm glad I did!!,,,5,BestBuy Canada,,POSITIVE
,Fantastic Headphones with a serious flaw,,,3,BestBuy Canada,,NEUTRAL
,Moderate improvement over the XM4,,,4,BestBuy Canada,,POSITIVE
,significant upgrade from Aipods MAX,,,5,BestBuy Canada,,POSITIVE
,"Great over ear headphones, but not for me",,,5,BestBuy Canada,,POSITIVE
,The best noise cancelling headphone I've ever had.,,,5,BestBuy Canada,,POSITIVE
,"Great build quality and sound, not a bad first buy",,,4,BestBuy Canada,,POSITIVE
,Last only 1 month for me.,,,1,BestBuy Canada,,NEGATIVE
,Best in-class ANC and more durable hinges,,,5,BestBuy Canada,,POSITIVE
,So Good!,,,5,BestBuy Canada,,POSITIVE
,Couldn't be happier!,,,5,BestBuy Canada,,POSITIVE
,Not good at all,,,1,BestBuy Canada,,NEGATIVE
,Amazing noise cancellation. And sound.,,,5,BestBuy Canada,,POSITIVE
,Great features,,,5,BestBuy Canada,,POSITIVE
,Just what I was looking for,,,5,BestBuy Canada,,POSITIVE
,The word for me is disappointed.,,,3,BestBuy Canada,,NEUTRAL
,Good sound but uncomfortable,,,3,BestBuy Canada,,NEUTRAL
,Sony MX6,,,4,BestBuy Canada,,POSITIVE
,Fantastic,,,5,BestBuy Canada,,POSITIVE
,Simply incredible headphones!,,,5,BestBuy Canada,,POSITIVE
,Just my honest on the spot review.. overall great,,,5,BestBuy Canada,,POSITIVE
,"Satisfactory, not outstanding.",,,3,BestBuy Canada,,NEUTRAL
,Good new headphones,,,5,BestBuy Canada,,POSITIVE
,Unwelcome startle,,,2,BestBuy Canada,,NEGATIVE
,Blown away,,,5,BestBuy Canada,,POSITIVE
,All in one,,,5,BestBuy Canada,,POSITIVE
,Unable to turn off,,,1,BestBuy Canada,,NEGATIVE
,An upgrade on the previous model?,,,4,BestBuy Canada,,POSITIVE
