Primary Key,Title,Review Text,Date,Rating,Source,Reviewer Name
,Great replacement for Apple AirPod Max,,,5,BestBuy Canada,
,I chose Sony over Bose. And I'm glad I did!!,,,5,BestBuy Canada,
,Fantastic Headphones with a serious flaw,,,3,BestBuy Canada,
,Moderate improvement over the XM4,,,4,BestBuy Canada,
,significant upgrade from Aipods MAX,,,5,BestBuy Canada,
,"Great over ear headphones, but not for me",,,5,BestBuy Canada,
,The best noise cancelling headphone I've ever had.,,,5,BestBuy Canada,
,"Great build quality and sound, not a bad first buy",,,4,BestBuy Canada,
,Last only 1 month for me.,,,1,BestBuy Canada,
,Best in-class ANC and more durable hinges,,,5,BestBuy Canada,
,So Good!,,,5,BestBuy Canada,
,Couldn't be happier!,,,5,BestBuy Canada,
,Not good at all,,,1,BestBuy Canada,
,Amazing noise cancellation. And sound.,,,5,BestBuy Canada,
,Great features,,,5,BestBuy Canada,
,Just what I was looking for,,,5,BestBuy Canada,
,The word for me is disappointed.,,,3,BestBuy Canada,
,Good sound but uncomfortable,,,3,BestBuy Canada,
,Sony MX6,,,4,BestBuy Canada,
,Fantastic,,,5,BestBuy Canada,
,Simply incredible headphones!,,,5,BestBuy Canada,
,Just my honest on the spot review.. overall great,,,5,BestBuy Canada,
,"Satisfactory, not outstanding.",,,3,BestBuy Canada,
,Good new headphones,,,5,BestBuy Canada,
,Unwelcome startle,,,2,BestBuy Canada,
,Blown away,,,5,BestBuy Canada,
,All in one,,,5,BestBuy Canada,
,Unable to turn off,,,1,BestBuy Canada,
,An upgrade on the previous model?,,,4,BestBuy Canada,
,A downgrade from the WH1000XM5s,,,4,BestBuy Canada,
,Major improvements!,,,5,BestBuy Canada,
,"Decent sound quality, awful comfort",,,2,BestBuy Canada,
,Is the music live???,,,5,BestBuy Canada,
,Sony noise cancelling headphones latest version,,,3,BestBuy Canada,
,Top-Notch Noise-Canceling Headphones,,,5,BestBuy Canada,
,Don't buy these if you plan to use them for work,,,1,BestBuy Canada,
,Exceptional experience over QC35s.,,,5,BestBuy Canada,
,Smart features disappointing.,,,4,BestBuy Canada,
,"Ease of use , great sound , lightweight.",,,5,BestBuy Canada,
,These headphones are an amazing investment!,,,5,BestBuy Canada,
,Sony for the win with these headphones!,,,5,BestBuy Canada,
,Awesome ANC Headphones,,,5,BestBuy Canada,
,ANC Prioritized Over Sound Quality,,,4,BestBuy Canada,
,Outstanding,,,5,BestBuy Canada,
,Even better than XM5's,,,5,BestBuy Canada,
,Great sound and low weight,,,5,BestBuy Canada,
,Expected better at this price,,,2,BestBuy Canada,
,"Great, but needs better call noise reduction",,,4,BestBuy Canada,
,Headphones,,,5,BestBuy Canada,
,"Good, but is the high price really justifiable.",,,4,BestBuy Canada,
