Primary Key,Title,Review Text,Date,Rating,Source,Reviewer Name,Sentiment
,Great replacement for Apple AirPod Max,,,5,BestBuy Canada,,NEUTRAL
,I chose Sony over Bose. And I'm glad I did!!,,,5,BestBuy Canada,,NEUTRAL
,Fantastic Headphones with a serious flaw,,,3,BestBuy Canada,,NEUTRAL
,Moderate improvement over the XM4,,,4,BestBuy Canada,,NEUTRAL
,significant upgrade from Aipods MAX,,,5,BestBuy Canada,,NEUTRAL
,"Great over ear headphones, but not for me",,,5,BestBuy Canada,,NEUTRAL
,The best noise cancelling headphone I've ever had.,,,5,BestBuy Canada,,NEUTRAL
,"Great build quality and sound, not a bad first buy",,,4,BestBuy Canada,,NEUTRAL
,Last only 1 month for me.,,,1,BestBuy Canada,,NEUTRAL
,Best in-class ANC and more durable hinges,,,5,BestBuy Canada,,NEUTRAL
,So Good!,,,5,BestBuy Canada,,NEUTRAL
,Couldn't be happier!,,,5,BestBuy Canada,,NEUTRAL
,Not good at all,,,1,BestBuy Canada,,NEUTRAL
,Amazing noise cancellation. And sound.,,,5,BestBuy Canada,,NEUTRAL
,Great features,,,5,BestBuy Canada,,NEUTRAL
,Just what I was looking for,,,5,BestBuy Canada,,NEUTRAL
,The word for me is disappointed.,,,3,BestBuy Canada,,NEUTRAL
,Good sound but uncomfortable,,,3,BestBuy Canada,,NEUTRAL
,Sony MX6,,,4,BestBuy Canada,,NEUTRAL
,Fantastic,,,5,BestBuy Canada,,NEUTRAL
,Simply incredible headphones!,,,5,BestBuy Canada,,NEUTRAL
,Just my honest on the spot review.. overall great,,,5,BestBuy Canada,,NEUTRAL
,"Satisfactory, not outstanding.",,,3,BestBuy Canada,,NEUTRAL
,Good new headphones,,,5,BestBuy Canada,,NEUTRAL
,Unwelcome startle,,,2,BestBuy Canada,,NEUTRAL
,Blown away,,,5,BestBuy Canada,,NEUTRAL
,All in one,,,5,BestBuy Canada,,NEUTRAL
,Unable to turn off,,,1,BestBuy Canada,,NEUTRAL
,An upgrade on the previous model?,,,4,BestBuy Canada,,NEUTRAL
,A downgrade from the WH1000XM5s,,,4,BestBuy Canada,,NEUTRAL
,Major improvements!,,,5,BestBuy Canada,,NEUTRAL
,"Decent sound quality, awful comfort",,,2,BestBuy Canada,,NEUTRAL
,Is the music live???,,,5,BestBuy Canada,,NEUTRAL
,Sony noise cancelling headphones latest version,,,3,BestBuy Canada,,NEUTRAL
,Top-Notch Noise-Canceling Headphones,,,5,BestBuy Canada,,NEUTRAL
,Don't buy these if you plan to use them for work,,,1,BestBuy Canada,,NEUTRAL
,Exceptional experience over QC35s.,,,5,BestBuy Canada,,NEUTRAL
,Smart features disappointing.,,,4,BestBuy Canada,,NEUTRAL
,"Ease of use , great sound , lightweight.",,,5,BestBuy Canada,,NEUTRAL
,These headphones are an amazing investment!,,,5,BestBuy Canada,,NEUTRAL
,Sony for the win with these headphones!,,,5,BestBuy Canada,,NEUTRAL
,Awesome ANC Headphones,,,5,BestBuy Canada,,NEUTRAL
,ANC Prioritized Over Sound Quality,,,4,BestBuy Canada,,NEUTRAL
,Outstanding,,,5,BestBuy Canada,,NEUTRAL
,Even better than XM5's,,,5,BestBuy Canada,,NEUTRAL
,Great sound and low weight,,,5,BestBuy Canada,,NEUTRAL
,Expected better at this price,,,2,BestBuy Canada,,NEUTRAL
,"Great, but needs better call noise reduction",,,4,BestBuy Canada,,NEUTRAL
,Headphones,,,5,BestBuy Canada,,NEUTRAL
,"Good, but is the high price really justifiable.",,,4,BestBuy Canada,,NEUTRAL
,insane upgrade deffo recommend,,,5,BestBuy Canada,,NEUTRAL
,Great sound and comfort,,,5,BestBuy Canada,,NEUTRAL
,Totally Worth It!,,,5,BestBuy Canada,,NEUTRAL
,Incredible sound!,,,5,BestBuy Canada,,NEUTRAL
,Amazing sound quality!,,,4,BestBuy Canada,,NEUTRAL
,"Good battery performance, nicely balanced sound",,,4,BestBuy Canada,,NEUTRAL
,Effective misophonia relief,,,5,BestBuy Canada,,NEUTRAL
,"Disappointed, I can still hear most outside noises",,,2,BestBuy Canada,,NEUTRAL
,Sony Headphones review,,,5,BestBuy Canada,,NEUTRAL
,Wh1000mx6,,,5,BestBuy Canada,,NEUTRAL
,Best over the head headphones,,,5,BestBuy Canada,,NEUTRAL
,Great headphones,,,4,BestBuy Canada,,NEUTRAL
,Sound great and the noise cancelling is incredible,,,5,BestBuy Canada,,NEUTRAL
,Just OK,,,1,BestBuy Canada,,NEUTRAL
,Extremely uncomfortable/ headband snapped.,,,1,BestBuy Canada,,NEUTRAL
,Not sure it is what I need,,,1,BestBuy Canada,,NEUTRAL
,Distortion over bluetooth,,,3,BestBuy Canada,,NEUTRAL
,Superb sound quality & excellent noise cancelling.,,,5,BestBuy Canada,,NEUTRAL
,Would recommend,,,5,BestBuy Canada,,NEUTRAL
,"Great product, very happy!",,,5,BestBuy Canada,,NEUTRAL
,Smooth sounds,,,5,BestBuy Canada,,NEUTRAL
,Excellent Headphones,,,5,BestBuy Canada,,NEUTRAL
,Worth the Upgrade!,,,5,BestBuy Canada,,NEUTRAL
,Great Headphones,,,5,BestBuy Canada,,NEUTRAL
,Great noice cancellation,,,5,BestBuy Canada,,NEUTRAL
,Most uncomfortable Headphones I have ever owned,,,1,BestBuy Canada,,NEUTRAL
,Definetly a Best Buy,,,5,BestBuy Canada,,NEUTRAL
,Great features and myself how i felt about it,,,4,BestBuy Canada,,NEUTRAL
,Worth the upgrade from the XM5!,,,5,BestBuy Canada,,NEUTRAL
,Great head set,,,5,BestBuy Canada,,NEUTRAL
,Pretty solid,,,4,BestBuy Canada,,NEUTRAL
,Great upgrade,,,4,BestBuy Canada,,NEUTRAL
,Amazing sound just bulky,,,5,BestBuy Canada,,NEUTRAL
,So light weight and the best,,,5,BestBuy Canada,,NEUTRAL
,Best Headphone Ever,,,5,BestBuy Canada,,NEUTRAL
,Sony WH1000XM6,,,5,BestBuy Canada,,NEUTRAL
,Extremely Good - Coming from Xm5,,,5,BestBuy Canada,,NEUTRAL
,Best headphones yet,,,5,BestBuy Canada,,NEUTRAL
,Successful Road Trip with Twin Toddlers,,,5,BestBuy Canada,,NEUTRAL
,Amazing,,,5,BestBuy Canada,,NEUTRAL
,Few issues,,,2,BestBuy Canada,,NEUTRAL
,Worth the cost,,,5,BestBuy Canada,,NEUTRAL
,Excellent ANC and comfortable fit. No pain on head,,,5,BestBuy Canada,,NEUTRAL
,Worth it!,,,5,BestBuy Canada,,NEUTRAL
,Headphones..,,,4,BestBuy Canada,,NEUTRAL
,Worth for Money,,,5,BestBuy Canada,,NEUTRAL
,Average sound for a high price,,,3,BestBuy Canada,,NEUTRAL
,Sony WH1000XM6,,,5,BestBuy Canada,,NEUTRAL
,The best headphones!,,,5,BestBuy Canada,,NEUTRAL
,Fantastic technology in a poor material execution,,,3,BestBuy Canada,,NEUTRAL
,Amazing headphones,,,5,BestBuy Canada,,NEUTRAL
,Best Noise Canceling,,,5,BestBuy Canada,,NEUTRAL
,Excelent headphones,,,5,BestBuy Canada,,NEUTRAL
,Left ear high pitch screeching noise upon use.,,,2,BestBuy Canada,,NEUTRAL
,Great improvement and a worthy update!,,,5,BestBuy Canada,,NEUTRAL
